rank,score,store,url,niche,rationale,snapshot_path,blocked,platform,bnpl,reviews,returns,search_personalization,subscriptions,support,ux_keywords
89,-2,MAC Cosmetics,https://www.maccosmetics.com,Beauty DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/mac-cosmetics.html,bot_protection_or_blocked,,,,,,,,
90,-2,Ulta,https://www.ulta.com,Beauty marketplace,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ulta.html,bot_protection_or_blocked,,,,,,,,
91,-2,Lush,https://www.lush.com,Beauty retail,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/lush.html,bot_protection_or_blocked,magento,,,,,,,
92,-2,B&H Photo Video,https://www.bhphotovideo.com,Electronics retail,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/b-h-photo-video.html,bot_protection_or_blocked,magento,,,,,,,
93,-2,Ray-Ban,https://www.ray-ban.com,Eyewear DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ray-ban.html,bot_protection_or_blocked,,,,,,,,
94,-2,Crate & Barrel,https://www.crateandbarrel.com,Home retail,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/crate-barrel.html,bot_protection_or_blocked,,,,,,,,
95,-2,The North Face,https://www.thenorthface.com,Outdoor DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-north-face.html,bot_protection_or_blocked,,,,,,,,
96,-2,StockX,https://stockx.com,Resale marketplace,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/stockx.html,bot_protection_or_blocked,magento,,,,,,,
97,-2,HelloFresh,https://www.hellofresh.com,Subscription food,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/hellofresh.html,bot_protection_or_blocked,magento,,,,,,,
98,-2,BarkBox,https://www.barkbox.com,Subscription pet,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/barkbox.html,bot_protection_or_blocked,magento,,,,,,,
99,-2,Seed,https://seed.com,Supplements DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/seed.html,bot_protection_or_blocked,magento,,,,,,,
100,-2,Rimowa,https://www.rimowa.com,Travel DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rimowa.html,bot_protection_or_blocked,,,,,,,,
