sweep,name,category,website,notes,slug,evidence_status,snapshot_title,snapshot_description,evidence_file
adjacent,Optimizely,experimentation,https://www.optimizely.com,Enterprise experimentation suite,optimizely,ok,World's leading AI-powered digital experiences - Optimizely,"Empowering marketing and digital teams with everything they need to create content fast, test and personalize with ease, and prove impact on business outcomes.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/optimizely.md
adjacent,Payload CMS,headless CMS,https://payloadcms.com,Dev-first CMS (Node) | blocked by Vercel Security Checkpoint in CLI snapshots,payload-cms,blocked,Vercel Security Checkpoint,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/payload-cms.md
adjacent,Pipedream,workflow automation,https://pipedream.com,Developer automation,pipedream,ok,"Pipedream | Connect APIs, AI, databases and more","Pipedream is the fastest way to build powerful applications that connect all the services in your stack, with code-level control when you need it and no code when you don",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/pipedream.md
adjacent,Plausible,web analytics (oss),https://plausible.io,Lightweight privacy-friendly analytics,plausible,ok,"Plausible Analytics | Simple, privacy-friendly Google Analytics alternative",Plausible is a lightweight and open-source Google Analytics alternative. Your website data is 100% yours and the privacy of your visitors is respected.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/plausible.md
adjacent,PocketBase,backend platform (oss),https://pocketbase.io,OSS backend-in-a-file,pocketbase,ok,PocketBase - Open Source backend in 1 file,"Open Source backend in 1 file with realtime database, authentication, file storage and admin dashboard",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/pocketbase.md
adjacent,PostHog,product analytics (oss),https://posthog.com,OSS product analytics + session replay + feature flags,posthog,ok,PostHog – We make dev tools for product engineers,"All your developer tools in one place. PostHog gives engineers everything to build, test, measure, and ship successful products faster. Get started free.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/posthog.md
adjacent,Prismic,headless CMS,https://prismic.io,Headless CMS,prismic,ok,"Prismic: Headless Page Builder for Next.js, Nuxt & SvelteKit","Empower marketers to create on-brand pages fast. Prismic is the headless page builder for Next.js, Nuxt, and SvelteKit sites.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/prismic.md
adjacent,Retool,internal tools,https://retool.com,Internal tool builder,retool,ok,"Retool | Build internal software better, with AI.","Build, deploy, and manage internal tools with Retool’s unified engine. Connect to any database, API, or LLM. Leverage AI throughout your business.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/retool.md
adjacent,RudderStack,CDP (oss),https://www.rudderstack.com,OSS-ish CDP + pipelines,rudderstack,ok,RudderStack | Connect Real-Time Customer Data Everywhere,"RudderStack is the easiest way to collect, transform, and deliver customer event data everywhere it's needed in real time with full privacy control.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/rudderstack.md
adjacent,Sanity,headless CMS,https://www.sanity.io,Content platform + studio,sanity,ok,The Content Operating System | Sanity,"Sanity is a fully customizable all-code backend for AI, automations, and applications to author and render content.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/sanity.md
adjacent,Segment,CDP,https://segment.com,Customer data platform,segment,ok,Twilio Segment - Customer Data Platform | Twilio Segment,"Twilio Segment is a customer data platform (CDP) that helps you collect, clean, and activate your customer data.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/segment.md
adjacent,Split.io,feature flags,https://www.split.io,Feature flags + experimentation,split-io,ok,Feature Management & Experimentation | Product,"Split.io feature flags connects critical impact data and alerts you whether your software changes are making things better or worse. Feature Management & Experimentation is a shift to safer, faster, more impactful software delivery.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/split-io.md
adjacent,Storyblok,headless CMS,https://www.storyblok.com,Visual editing headless CMS,storyblok,ok,Storyblok Docs | Storyblok Documentation,"Welcome to the Storyblok documentation. Here, you will find everything you need to build amazing digital experiences.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/storyblok.md
adjacent,Strapi,headless CMS (oss),https://strapi.io,OSS headless CMS,strapi,ok,Strapi - Open source Node.js Headless CMS 🚀,"Strapi is the next-gen headless CMS, open-source, JavaScript/TypeScript, enabling content-rich experiences to be created, managed and exposed to any digital device.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/strapi.md
adjacent,Supabase,backend platform,https://supabase.com,Postgres + auth + storage (adjacent primitives),supabase,ok,Supabase | The Postgres Development Platform.,"Build production-grade applications with a Postgres database, Authentication, instant APIs, Realtime, Functions, Storage and Vector embeddings. Start for free.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/supabase.md
adjacent,Temporal,workflow engine (oss),https://temporal.io,Durable workflows (heavier integration),temporal,ok,Durable Execution Solutions | Temporal,Build invincible apps with Temporal,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/temporal.md
adjacent,ToolJet,internal tools (oss),https://tooljet.com,OSS internal tools,tooljet,ok,ToolJet | Build Full-Stack Enterprise Apps in Minutes with AI,(no meta description tag present in homepage snapshot),.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/tooljet.md
adjacent,Umami,web analytics (oss),https://umami.is,OSS analytics (self-host),umami,ok,Umami,"Umami is a simple, fast, privacy-friendly alternative to Google Analytics.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/umami.md
adjacent,Unleash,feature flags (oss),https://www.getunleash.io,OSS feature flags,unleash,ok,Feature Management Platform / Feature Flags for Large Enterprise,"Feature flags that are oss, private, secure, and ready for the most complex setups out of the box. Built for enterprises.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/unleash.md
adjacent,VWO,experimentation,https://vwo.com,A/B testing + personalization,vwo,ok,VWO | Digital Experience Optimization,VWO is the market-leading digital experience optimization solution that fast-growing companies use for experimentation & conversion rate optimization.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/vwo.md
adjacent,Webflow,site builder,https://webflow.com,Visual site builder + CMS patterns,webflow,ok,Page not found  - Webflow,"Create custom, responsive websites with the power of code — visually. Design and build your site with a flexible CMS and top-tier hosting. Try Webflow for free.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/webflow.md
adjacent,Zapier,workflow automation,https://zapier.com,Automation platform,zapier,ok,Error 404 (Not Found),"Connect the apps you use everyday to automate your work and be more productive. 5,000 apps and easy integrations - get started in minutes.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/zapier.md
